group,port,pin,direction,vccio,standard,drive,clock_period,mode,description,manual_table
ddr3_ip,ddr3_dm[1],L1,Output,1.5,SSTL15,,,ip,DDR3 data mask1,Table 2-5
ddr3_ip,ddr3_dm[2],K2,Output,1.5,SSTL15,,,ip,DDR3 data mask2,Table 2-5
ddr3_ip,ddr3_dm[3],G1,Output,1.5,SSTL15,,,ip,DDR3 data mask3,Table 2-5
ddr3_ip,ddr3_dq[0],U1,Inout,1.5,SSTL15,,,ip,DDR3 data0,Table 2-5
ddr3_ip,ddr3_dq[1],U3,Inout,1.5,SSTL15,,,ip,DDR3 data1,Table 2-5
ddr3_ip,ddr3_dq[2],T2,Inout,1.5,SSTL15,,,ip,DDR3 data2,Table 2-5
ddr3_ip,ddr3_dq[3],Y2,Inout,1.5,SSTL15,,,ip,DDR3 data3,Table 2-5
ddr3_ip,ddr3_dq[4],T1,Inout,1.5,SSTL15,,,ip,DDR3 data4,Table 2-5
ddr3_ip,ddr3_dq[5],Y1,Inout,1.5,SSTL15,,,ip,DDR3 data5,Table 2-5
ddr3_ip,ddr3_dq[6],M7,Inout,1.5,SSTL15,,,ip,DDR3 data6,Table 2-5
ddr3_ip,ddr3_dq[7],W1,Inout,1.5,SSTL15,,,ip,DDR3 data7,Table 2-5
ddr3_ip,ddr3_dq[8],P1,Inout,1.5,SSTL15,,,ip,DDR3 data8,Table 2-5
ddr3_ip,ddr3_dq[9],M2,Inout,1.5,SSTL15,,,ip,DDR3 data9,Table 2-5
ddr3_ip,ddr3_dq[10],R1,Inout,1.5,SSTL15,,,ip,DDR3 data10,Table 2-5
ddr3_ip,ddr3_dq[11],M1,Inout,1.5,SSTL15,,,ip,DDR3 data11,Table 2-5
ddr3_ip,ddr3_dq[12],P2,Inout,1.5,SSTL15,,,ip,DDR3 data12,Table 2-5
ddr3_ip,ddr3_dq[13],L3,Inout,1.5,SSTL15,,,ip,DDR3 data13,Table 2-5
ddr3_ip,ddr3_dq[14],P3,Inout,1.5,SSTL15,,,ip,DDR3 data14,Table 2-5
ddr3_ip,ddr3_dq[15],N4,Inout,1.5,SSTL15,,,ip,DDR3 data15,Table 2-5
ddr3_ip,ddr3_dq[16],K4,Inout,1.5,SSTL15,,,ip,DDR3 data16,Table 2-5
ddr3_ip,ddr3_dq[17],K1,Inout,1.5,SSTL15,,,ip,DDR3 data17,Table 2-5
ddr3_ip,ddr3_dq[18],J3,Inout,1.5,SSTL15,,,ip,DDR3 data18,Table 2-5
ddr3_ip,ddr3_dq[19],L4,Inout,1.5,SSTL15,,,ip,DDR3 data19,Table 2-5
ddr3_ip,ddr3_dq[20],K3,Inout,1.5,SSTL15,,,ip,DDR3 data20,Table 2-5
ddr3_ip,ddr3_dq[21],M3,Inout,1.5,SSTL15,,,ip,DDR3 data21,Table 2-5
ddr3_ip,ddr3_dq[22],J1,Inout,1.5,SSTL15,,,ip,DDR3 data22,Table 2-5
ddr3_ip,ddr3_dq[23],M4,Inout,1.5,SSTL15,,,ip,DDR3 data23,Table 2-5
ddr3_ip,ddr3_dq[24],J6,Inout,1.5,SSTL15,,,ip,DDR3 data24,Table 2-5
ddr3_ip,ddr3_dq[25],F1,Inout,1.5,SSTL15,,,ip,DDR3 data25,Table 2-5
ddr3_ip,ddr3_dq[26],K7,Inout,1.5,SSTL15,,,ip,DDR3 data26,Table 2-5
ddr3_ip,ddr3_dq[27],F2,Inout,1.5,SSTL15,,,ip,DDR3 data27,Table 2-5
ddr3_ip,ddr3_dq[28],H5,Inout,1.5,SSTL15,,,ip,DDR3 data28,Table 2-5
ddr3_ip,ddr3_dq[29],H3,Inout,1.5,SSTL15,,,ip,DDR3 data29,Table 2-5
ddr3_ip,ddr3_dq[30],J4,Inout,1.5,SSTL15,,,ip,DDR3 data30,Table 2-5
ddr3_ip,ddr3_dq[31],G3,Inout,1.5,SSTL15,,,ip,DDR3 data31,Table 2-5
ddr3_ip,ddr3_dqs_p[0],V2,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe0 positive,Table 2-5
ddr3_ip,ddr3_dqs_n[0],V1,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe0 negative,Table 2-5
ddr3_ip,ddr3_dqs_p[1],N3,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe1 positive,Table 2-5
ddr3_ip,ddr3_dqs_n[1],N1,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe1 negative,Table 2-5
ddr3_ip,ddr3_dqs_p[2],M6,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe2 positive,Table 2-5
ddr3_ip,ddr3_dqs_n[2],L6,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe2 negative,Table 2-5
ddr3_ip,ddr3_dqs_p[3],E3,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe3 positive,Table 2-5
ddr3_ip,ddr3_dqs_n[3],E1,Inout,1.5,DIFF_SSTL15,,,ip,DDR3 strobe3 negative,Table 2-5
